Word,new AoA,Frequency,V.Mean.Sum,A.Mean.Sum,icon_eng,Bigram,Conc.M,SUBTLEX
broad,376.0,1.7067,5.14,3.26,2.266666667,0.0,2.45,751.0
bronze,448.0,1.211,5.81,3.62,0.083333333,0.0,4.47,143.0
brown,243.0,0.9619,5.52,3.32,0.571428571,0.0,4.48,3066.0
brush,198.0,1.2184,5.47,3.18,1.727272727,0.0,4.54,722.0
bug,383.0,0.6866,3.45,6.06,1.9,0.0,5.0,1068.0
build,251.0,2.3842,6.33,3.38,1.153846154,0.0,3.71,2452.0
builder,343.0,1.0394,5.95,3.32,0.857142857,0.0,3.97,48.0
bull,286.0,1.44,3.95,4.9,1.4,0.0,4.85,1403.0
bungalow,380.0,0.887,6.5,3.64,-0.363636364,0.0,4.63,84.0
burst,294.0,1.5809,5.43,5.09,2.916666667,0.0,3.1,435.0
butter,235.0,0.4192,6.36,3.37,0.545454545,0.0,4.9,1042.0
buy,237.0,2.4093,6.82,4.29,-0.083333333,0.0,3.35,9814.0
calf,294.0,1.3142,5.44,3.7,-0.4,0.0,4.48,151.0
call,254.0,2.8416,6.18,3.29,0.4166666670000001,0.0,4.0,43931.0
camel,303.0,1.3994,5.29,3.1,0.272727273,0.0,4.93,256.0
canary,326.0,0.5106,6.37,3.5,0.8,0.0,4.63,149.0
carpet,244.0,1.4779,5.95,2.77,-0.272727273,0.0,4.96,594.0
cast,471.0,1.6146,5.26,3.55,0.222222222,0.0,3.92,1180.0
cause,416.0,2.2349,5.14,3.48,-0.090909091,0.0,2.43,15812.0
chart,413.0,1.255,5.35,3.1,-0.076923077,0.0,4.48,483.0
chase,282.0,1.3071,3.77,6.6,0.692307692,0.0,3.48,1673.0
cheat,335.0,0.1451,3.05,4.91,-0.363636364,0.0,2.23,901.0
cheer,308.0,1.1784,7.1,5.33,2.8,0.0,2.77,953.0
cheetah,456.0,-0.1739,6.27,5.31,-0.181818182,0.0,4.7,117.0
chef,469.0,0.525,6.15,3.05,-0.75,0.0,4.3,606.0
chew,223.0,1.3047,5.58,3.8,2.214285714,0.0,3.93,462.0
child,221.0,3.0347,7.2,5.33,0.933333333,0.0,4.78,8040.0
children,226.0,3.0347,6.36,5.09,0.8,0.0,4.89,8930.0
chill,376.0,0.8228,5.16,3.25,0.923076923,0.0,2.89,828.0
chinchilla,570.0,-0.6508,6.15,4.43,-0.25,0.0,4.72,27.0
chipmunk,564.0,-0.9518,7.33,3.8,0.1,0.0,4.97,42.0
chop,333.0,0.7014,4.6,4.43,3.272727273,0.0,4.48,694.0
cigarette,264.0,1.8523,3.0,4.0,1.0,0.0,4.88,1357.0
circle,340.0,1.0503,5.76,3.33,1.307692308,0.0,4.44,1097.0
clang,402.0,0.4953,4.1,4.61,3.857142857,0.0,3.96,43.0
clean,213.0,1.7975,7.09,3.57,0.923076923,0.0,3.07,6183.0
clip,385.0,0.6767,5.36,2.9,1.75,0.0,4.37,290.0
close,245.0,2.081,5.23,3.81,-0.125,0.0,3.2,11191.0
coast,311.0,1.7038,5.9,4.17,-0.428571429,0.0,4.21,1361.0
cod,368.0,0.9903,5.21,3.95,-1.363636364,0.0,4.61,114.0
cold,180.0,2.2193,4.32,3.55,1.5,0.0,3.85,6638.0
collect,346.0,1.8447,5.9,3.14,0.384615385,0.0,3.34,1020.0
college,484.0,2.0124,6.44,4.0,1.0,0.0,4.62,4344.0
comb,217.0,0.9484,5.65,2.33,-0.066666667,0.0,5.0,309.0
come,244.0,3.2931,5.64,3.57,0.214285714,0.0,2.72,160190.0
concept,592.0,1.7952,4.89,2.9,0.285714286,0.0,1.41,553.0
confuse,441.0,1.3153,4.5,3.95,1.0,0.0,2.04,243.0
construct,450.0,1.4556,5.4,4.33,0.083333333,0.0,2.6,74.0
contact,439.0,1.9171,6.17,3.33,0.2,0.0,3.86,3305.0
contract,570.0,1.1753,5.1,3.95,-0.692307692,0.0,4.15,1650.0
cook,288.0,1.2643,7.12,4.33,0.9,0.0,4.32,2324.0
cool,279.0,1.4108,6.82,3.43,2.214285714,0.0,3.53,9990.0
cope,435.0,1.6404,5.1,4.1,-0.307692308,0.0,1.78,166.0
cost,428.0,2.258,4.11,4.9,0.538461538,0.0,2.5,2801.0
cougar,579.0,-0.7696,5.67,5.7,1.2,0.0,4.82,102.0
cough,226.0,1.0955,3.57,4.5,2.363636364,0.0,4.36,448.0
council,540.0,2.0784,5.0,3.86,0.076923077,0.0,2.73,863.0
counsel,611.0,0.7427,5.48,2.86,0.166666667,0.0,2.48,726.0
country,314.0,2.7478,6.14,3.71,-0.529411765,0.0,4.17,8254.0
cow,174.0,1.6051,5.42,2.95,1.454545455,0.0,4.96,1301.0
coyote,572.0,0.0899,4.05,5.55,-0.4,0.0,4.96,185.0
crack,305.0,1.3469,2.68,5.25,3.1,0.0,4.53,1675.0
craft,426.0,1.2577,6.38,4.04,0.7333333329999999,0.0,3.48,289.0
creak,387.0,0.9085,4.68,4.4,1.923076923,0.0,3.61,26.0
cream,245.0,1.4795,6.56,3.8,0.214285714,0.0,4.83,2484.0
creed,534.0,0.7642,5.25,3.67,-0.357142857,0.0,2.1,129.0
crimson,389.0,0.2529,5.67,4.52,0.307692308,0.0,4.0,67.0
crocodile,316.0,0.7471,3.15,6.48,1.0,0.0,4.83,115.0
crow,279.0,-1.5539,4.32,3.55,1.909090909,0.0,4.93,227.0
cry,159.0,1.4681,3.22,5.45,0.8666666670000001,0.0,4.0,3348.0
cure,392.0,1.3303,7.81,4.5,-0.071428571,0.0,2.41,1063.0
curl,320.0,1.1833,5.72,3.05,0.692307692,0.0,4.38,120.0
damage,344.0,1.6459,2.98,4.86,1.615384615,0.0,3.2,1686.0
dance,295.0,1.566,7.27,5.48,0.153846154,0.0,4.32,7550.0
dash,333.0,1.1109,5.05,4.29,2.454545455,0.0,3.39,308.0
day,204.0,2.9516,6.36,3.62,-0.153846154,0.0,3.92,40893.0
deal,413.0,2.0192,6.14,3.9,-0.538461538,0.0,3.1,13330.0
death,342.0,2.379,1.89,5.53,0.7857142859999999,0.0,3.73,11051.0
deem,579.0,0.7686,4.74,3.29,-0.583333333,0.0,2.1,30.0
defeat,416.0,1.3641,3.74,4.14,0.076923077,0.0,2.96,580.0
defy,449.0,1.0546,4.84,5.43,0.846153846,0.0,1.86,158.0
delight,432.0,1.4461,8.21,5.02,0.692307692,0.0,2.3,288.0
democracy,612.0,1.7497,6.16,5.05,0.142857143,0.0,1.78,337.0
deny,410.0,1.816,3.81,5.63,0.857142857,0.0,2.2,1091.0
despise,516.0,1.1604,3.08,4.77,1.0,0.0,2.12,230.0
destroy,393.0,2.0167,2.67,5.16,1.857142857,0.0,3.08,2406.0
die,286.0,2.3785,1.67,6.9,0.333333333,0.0,3.07,13318.0
dig,230.0,1.6021,5.28,3.67,0.636363636,0.0,4.33,2357.0
dirty,284.0,-0.0768,3.17,5.05,1.0,0.0,4.23,3389.0
disease,396.0,1.9352,1.68,5.5,0.166666667,0.0,3.45,1335.0
dive,346.0,1.0993,5.81,3.79,1.571428571,0.0,4.03,654.0
do,439.0,-0.7757,5.41,3.67,0.846153846,0.0,2.46,312915.0
doctor,241.0,2.2662,5.93,4.05,1.6,0.0,4.69,13461.0
dolphin,442.0,0.48,6.67,3.0,0.181818182,0.0,4.96,141.0
donkey,235.0,1.152,6.29,2.9,0.842105263,0.0,5.0,273.0
draw,222.0,2.3329,6.18,3.6,0.2,0.0,3.97,2061.0
dream,275.0,1.887,7.43,4.37,0.642857143,0.0,2.6,6798.0
dress,231.0,1.9136,6.42,4.73,0.0,0.0,4.93,4447.0
drill,407.0,1.0673,4.73,5.11,0.909090909,0.0,4.4,701.0
drink,166.0,2.0153,6.67,5.19,1.0,0.0,4.76,12617.0
drive,330.0,2.1128,6.5,4.19,0.230769231,0.0,3.86,7810.0
drop,231.0,2.1539,4.23,4.67,1.071428571,0.0,4.21,6661.0
drum,319.0,0.7339,6.05,4.67,3.181818182,0.0,4.96,432.0
dull,532.0,0.3906,3.4,1.67,1.615384615,0.0,2.37,616.0
dust,290.0,0.929,3.72,3.45,0.538461538,0.0,4.4,1216.0
ease,433.0,1.3652,6.15,2.45,0.75,0.0,2.32,974.0
east,366.0,1.5091,6.33,2.5,0.384615385,0.0,3.04,2527.0
eat,167.0,2.4617,7.1,4.38,0.647058824,0.0,4.44,12846.0
echo,359.0,1.0856,5.2,3.61,2.8,0.0,3.64,350.0
elk,509.0,0.1461,5.81,3.48,-1.0,0.0,4.93,306.0
embrace,484.0,1.3965,7.0,5.82,1.454545455,0.0,3.38,386.0
emerald,452.0,0.2385,7.3,5.33,-0.75,0.0,4.93,131.0
empty,273.0,1.1989,3.78,2.25,0.8,0.0,3.43,2409.0
emu,463.0,-0.5528,5.45,4.0,-0.727272727,0.0,4.79,22.0
enter,334.0,2.1106,6.09,4.3,0.307692308,0.0,3.12,1516.0
estate,507.0,1.673,5.65,3.45,-1.25,0.0,4.11,1076.0
expand,454.0,1.6673,5.35,3.3,1.214285714,0.0,3.36,178.0
expect,383.0,2.4543,5.95,4.86,-0.75,0.0,1.89,5299.0
explode,391.0,1.3448,4.38,5.32,2.727272727,0.0,4.1,499.0
extend,475.0,1.871,5.86,3.62,1.5,0.0,2.93,327.0
eye,204.0,2.7195,6.18,3.95,1.0,0.0,4.9,5701.0
face,178.0,2.6635,6.36,4.59,0.272727273,0.0,4.87,14747.0
fact,411.0,2.7579,6.23,3.29,1.5,0.0,2.72,8801.0
factory,380.0,1.7741,4.95,3.0,0.0,0.0,4.76,857.0
fail,378.0,2.1635,2.33,5.5,1.0,0.0,3.0,1254.0
faint,408.0,0.8153,4.0,3.74,0.384615385,0.0,3.74,473.0
fall,210.0,2.4695,3.89,4.24,1.533333333,0.0,4.04,6044.0
farm,256.0,1.9318,6.22,3.05,-0.105263158,0.0,4.59,1532.0
father,185.0,2.4784,6.88,3.68,2.0,0.0,4.52,28279.0
fear,303.0,2.1658,2.93,6.14,0.833333333,0.0,2.57,3523.0
feed,227.0,2.1236,6.95,4.55,0.8,0.0,4.17,2162.0
feel,244.0,2.9372,6.27,4.05,1.25,0.0,2.28,31989.0
fence,467.0,0.4004,5.05,2.7,0.25,0.0,4.82,819.0
fight,284.0,2.1535,3.54,6.33,0.363636364,0.0,4.2,10255.0
file,494.0,1.3177,5.44,3.4,-0.071428571,0.0,4.41,2246.0
find,258.0,3.0377,6.45,3.52,0.0,0.0,2.63,42379.0
fine,321.0,1.4984,6.5,3.86,-0.461538462,0.0,2.61,30502.0
fire,189.0,2.2103,4.32,6.05,1.4615384619999998,0.0,4.68,10990.0
first,235.0,2.8768,7.33,4.9,1.3,0.0,2.76,42869.0
fish,275.0,1.493,6.42,3.33,0.071428571,0.0,5.0,4258.0
fit,364.0,1.8752,6.28,4.35,0.470588235,0.0,2.7,2937.0
five,208.0,2.4653,5.4,3.55,0.7692307690000001,0.0,3.87,14558.0
float,321.0,1.5143,6.42,3.1,0.545454545,0.0,4.07,381.0
floor,204.0,2.2456,5.14,3.33,0.5,0.0,4.8,5132.0
flounder,590.0,0.5855,5.32,4.0,0.3,0.0,3.92,43.0
flower,183.0,1.9709,7.3,3.67,-0.083333333,0.0,5.0,1161.0
fly,200.0,1.552,6.06,4.9,1.923076923,0.0,4.64,4335.0
follow,291.0,2.4718,4.82,3.76,0.142857143,0.0,3.26,6283.0
foot,163.0,2.5148,4.68,2.77,-0.4,0.0,4.9,3311.0
four,189.0,2.5138,5.26,3.39,-0.307692308,0.0,3.37,13045.0
fragile,456.0,1.063,4.67,3.05,1.0,0.0,2.86,262.0
freeze,348.0,1.6497,4.64,4.0,1.066666667,0.0,3.96,1640.0
friend,236.0,2.5524,6.79,4.29,0.818181818,0.0,3.07,21384.0
frown,355.0,1.2184,3.35,3.61,1.454545455,0.0,4.08,104.0
garden,239.0,2.148,7.25,3.71,-0.1875,0.0,4.73,1354.0
gentle,346.0,1.5614,7.42,3.17,2.642857143,0.0,2.53,844.0
get,251.0,3.3777,6.09,3.67,-0.583333333,0.0,2.38,233772.0
giggle,295.0,1.2095,7.95,5.39,3.0,0.0,3.72,87.0
giraffe,342.0,0.1943,6.52,2.91,-1.19047619,0.0,4.73,76.0
give,243.0,3.1074,7.73,4.57,1.272727273,0.0,2.83,59559.0
glamorous,501.0,0.7202,6.58,4.81,1.333333333,0.0,2.52,151.0
glass,254.0,2.1613,5.48,3.14,0.8,0.0,4.82,3096.0
glide,424.0,0.8116,6.1,4.58,3.0,0.0,3.93,120.0
glitter,357.0,0.5253,6.15,4.86,1.076923077,0.0,4.43,104.0
gloom,417.0,1.0438,2.89,3.9,1.916666667,0.0,1.86,59.0
glue,304.0,0.4639,4.85,3.75,0.6,0.0,4.65,300.0
go,221.0,3.4617,6.32,4.86,1.454545455,0.0,3.15,193445.0
goat,282.0,1.4513,5.3,2.94,-0.2,0.0,5.0,537.0
gold,305.0,1.9444,7.28,6.35,0.692307692,0.0,4.81,4026.0
goldfish,269.0,0.3909,6.62,2.95,2.5,0.0,4.79,155.0
good,185.0,3.1628,7.89,3.66,0.928571429,0.0,1.64,133117.0
goose,286.0,1.0212,5.68,3.29,0.230769231,0.0,4.81,665.0
gopher,597.0,-0.6576,5.37,3.58,1.7,0.0,4.67,72.0
gorgeous,482.0,0.738,7.57,4.92,-0.076923077,0.0,2.25,1227.0
gorilla,383.0,0.4795,4.26,4.95,0.818181818,0.0,4.97,283.0
gown,410.0,1.0856,6.0,3.86,-0.727272727,0.0,4.61,334.0
grade,478.0,1.3022,5.18,4.75,0.615384615,0.0,3.0,1493.0
gratitude,460.0,1.0416,6.67,5.09,0.9,0.0,2.56,395.0
grind,465.0,1.4382,5.2,3.43,2.0,0.0,3.97,190.0
groan,399.0,1.0482,3.9,4.17,3.230769231,0.0,4.09,47.0
guilt,469.0,1.5621,2.29,4.48,-0.153846154,0.0,1.93,760.0
hair,180.0,2.3005,6.18,3.71,-0.4166666670000001,0.0,4.97,7831.0
hammer,297.0,1.0955,5.17,4.56,1.384615385,0.0,4.77,636.0
hamster,425.0,0.586,5.88,4.0,-1.909090909,0.0,4.86,109.0
hang,341.0,1.1688,3.1,4.86,0.0,0.0,3.7,7535.0
happy,258.0,2.1812,8.47,6.05,2.076923077,0.0,2.56,16993.0
hard,273.0,1.9887,4.35,4.5,3.692307692,0.0,3.76,15700.0
harm,355.0,1.0048,1.91,5.9,0.230769231,0.0,2.62,1621.0
harmony,498.0,1.1554,7.55,4.33,1.5384615380000002,0.0,2.46,419.0
hate,333.0,1.1817,1.96,6.26,1.4375,0.0,1.97,10944.0
have,253.0,4.1311,5.86,3.52,-0.2666666669999999,0.0,2.18,314232.0
head,443.0,1.6704,5.86,4.45,0.6875,0.0,4.75,18947.0
hear,253.0,2.7039,6.68,3.62,0.066666667,0.0,3.66,28323.0
heat,299.0,2.0416,4.77,5.75,1.4615384619999998,0.0,3.79,2044.0
help,269.0,2.1315,6.95,4.29,1.533333333,0.0,2.56,46977.0
high,247.0,2.5953,5.77,4.1,2.636363636,0.0,3.46,9945.0
hike,432.0,0.5539,6.68,4.32,1.181818182,0.0,4.14,333.0
hippopotamus,355.0,0.1271,6.38,4.17,1.3,0.0,4.93,28.0
hiss,327.0,0.943,3.65,4.29,4.153846154,0.0,3.6,47.0
hit,230.0,2.0005,3.95,5.48,1.0,0.0,4.11,14025.0
hole,221.0,1.9628,5.28,2.95,2.538461538,0.0,4.81,2969.0
holiday,297.0,1.9333,7.18,4.93,0.7,0.0,2.86,1086.0
home,217.0,2.1983,7.48,3.78,2.0,0.0,4.11,39491.0
honest,357.0,1.556,8.16,4.0,0.214285714,0.0,1.66,3689.0
hoot,392.0,0.4955,6.0,4.91,3.428571429,0.0,3.88,133.0
hope,357.0,1.9049,7.48,5.29,1.125,0.0,1.25,16352.0
horse,208.0,2.1223,6.05,4.16,-0.363636364,0.0,5.0,4737.0
hot,172.0,2.1618,5.73,4.76,2.0,0.0,4.31,9682.0
hour,273.0,2.5763,5.05,3.38,-0.071428571,0.0,3.1,8277.0
house,189.0,2.7831,7.19,3.95,0.454545455,0.0,5.0,26214.0
howl,324.0,0.9951,5.29,5.6,4.0,0.0,3.83,105.0
hug,245.0,1.0546,8.23,4.85,2.0,0.0,4.14,986.0
huge,325.0,2.0338,5.72,4.24,2.538461538,0.0,3.54,2467.0
hunt,366.0,1.4581,3.84,5.1,0.357142857,0.0,3.81,1319.0
hurl,441.0,1.0973,3.32,4.43,2.181818182,0.0,4.1,69.0
hurry,299.0,1.6021,4.32,5.62,0.75,0.0,2.63,8856.0
hurt,251.0,0.2385,2.45,4.72,0.9,0.0,3.61,12564.0
husband,328.0,2.1884,7.41,4.38,0.0,0.0,4.11,9935.0
hyena,513.0,0.616,4.64,4.63,-0.6,0.0,4.57,72.0
ice,253.0,1.7221,6.06,3.3,0.642857143,0.0,4.89,4057.0
iguana,595.0,0.0899,5.23,4.33,0.4,0.0,4.83,40.0
inch,308.0,1.7802,5.4,3.29,1.833333333,0.0,4.37,631.0
increase,407.0,2.3641,5.9,5.06,1.071428571,0.0,2.61,436.0
inform,458.0,1.5641,5.18,3.33,0.461538462,0.0,2.25,644.0
injure,385.0,1.0026,3.74,5.9,-0.3,0.0,3.48,51.0
insult,452.0,1.1381,2.62,5.3,0.833333333,0.0,2.79,639.0
intent,553.0,0.9671,5.86,4.32,-0.5,0.0,1.52,286.0
invent,420.0,1.5209,6.64,6.16,-0.2666666669999999,0.0,2.66,235.0
invite,394.0,0.2923,5.68,5.1,0.230769231,0.0,3.0,1509.0
jaguar,493.0,0.7016,5.63,5.55,1.916666667,0.0,4.9,121.0
jealousy,448.0,1.1621,2.58,5.45,1.3,0.0,1.8,293.0
job,327.0,2.5228,5.64,4.0,0.307692308,0.0,3.19,21063.0
jog,551.0,0.661,5.81,3.43,0.454545455,0.0,3.63,123.0
join,359.0,2.1611,5.83,3.9,0.0,0.0,2.86,4255.0
joke,364.0,1.0525,7.88,5.73,0.545454545,0.0,2.9,3724.0
juggler,422.0,-0.2529,6.3,4.05,2.6,0.0,4.5,24.0
khaki,469.0,0.0043,5.05,2.64,-0.833333333,0.0,4.19,42.0
kick,243.0,1.6239,4.55,5.1,1.95,0.0,4.33,3744.0
kid,297.0,1.8967,7.23,4.71,1.454545455,0.0,4.56,17299.0
kill,329.0,2.3219,1.81,6.81,1.692307692,0.0,3.9,23081.0
kind,267.0,1.3382,7.78,3.19,-0.357142857,0.0,2.07,30125.0
king,264.0,1.9985,6.0,4.45,0.75,0.0,4.1,6592.0
kingdom,342.0,1.5023,6.74,4.2,1.923076923,0.0,3.76,787.0
kitchen,234.0,2.0469,6.17,3.52,-0.058823529,0.0,4.97,2974.0
kitten,213.0,0.8475,7.58,3.19,0.1,0.0,4.86,241.0
knock,290.0,0.8837,5.44,3.95,3.0625,0.0,4.24,3299.0
know,275.0,3.3271,6.82,3.24,0.7692307690000001,0.0,1.68,291780.0
koala,486.0,-0.3468,6.65,3.73,0.5,0.0,4.77,31.0
land,323.0,2.4125,6.61,3.05,-0.8,0.0,4.57,4494.0
landscape,568.0,0.3269,7.0,3.75,1.2,0.0,4.34,127.0
large,284.0,2.6411,5.77,5.35,1.5384615380000002,0.0,3.37,2114.0
lark,390.0,0.586,5.19,3.52,-0.9,0.0,4.28,83.0
laugh,230.0,1.4032,7.56,6.62,0.75,0.0,4.21,3206.0
leap,352.0,1.4867,4.8,4.0,1.818181818,0.0,3.86,340.0
lecture,533.0,1.0327,4.0,3.16,0.7,0.0,3.79,534.0
leg,165.0,2.2441,6.22,2.75,0.3157894739999999,0.0,4.83,2882.0
leopard,421.0,0.9261,6.43,6.26,0.4,0.0,5.0,276.0
lie,286.0,1.2986,2.39,4.81,-0.636363636,0.0,3.11,6133.0
life,335.0,2.9214,6.68,5.59,0.333333333,0.0,2.69,40629.0
lift,277.0,1.9453,5.32,4.9,0.571428571,0.0,3.89,1741.0
light,295.0,1.7303,6.55,3.52,0.9,0.0,4.21,8425.0
like,249.0,-1.5539,7.44,4.4,-0.333333333,0.0,1.89,203947.0
liquid,368.0,1.0568,5.35,3.67,1.5,0.0,4.72,395.0
listen,266.0,2.2489,6.91,3.76,0.75,0.0,3.47,27784.0
little,220.0,2.6514,5.91,4.2,1.15,0.0,3.67,73766.0
live,297.0,2.7189,7.95,4.71,0.4166666670000001,0.0,3.57,17574.0
lizard,421.0,0.6448,5.43,5.5,1.666666667,0.0,4.68,247.0
loan,502.0,1.5423,4.19,3.3,0.0,0.0,3.72,1013.0
look,238.0,3.1303,5.95,3.76,1.818181818,0.0,2.96,99311.0
lose,286.0,2.5315,3.59,5.43,-0.307692308,0.0,2.25,8382.0
love,251.0,2.3548,8.0,5.36,1.125,0.0,2.07,56864.0
low,290.0,2.2596,4.39,2.21,2.916666667,0.0,3.34,3016.0
machine,361.0,2.09,5.0,4.39,0.666666667,0.0,4.25,3583.0
magic,308.0,1.3223,7.17,6.05,1.266666667,0.0,2.9,2687.0
main,383.0,2.2861,5.27,4.1,0.692307692,0.0,2.41,2179.0
make,273.0,3.3688,6.09,3.67,0.642857143,0.0,2.67,70775.0
malice,566.0,0.8475,2.81,4.81,0.2,0.0,1.72,60.0
man,176.0,3.213,5.42,4.36,0.647058824,0.0,4.79,94133.0
manage,426.0,2.1068,4.71,3.52,-0.125,0.0,2.0,1095.0
mash,331.0,0.6662,4.81,3.85,3.0,0.0,3.78,224.0
mass,487.0,2.0427,5.15,3.56,0.384615385,0.0,3.44,880.0
matter,404.0,2.4461,5.82,4.05,-0.5,0.0,3.54,18900.0
measure,411.0,1.8638,5.14,4.36,0.545454545,0.0,3.59,537.0
meet,305.0,2.3685,6.09,3.71,-0.615384615,0.0,3.0,17966.0
melt,303.0,1.3866,5.95,3.0,0.615384615,0.0,3.96,373.0
microwave,635.0,-1.5539,5.25,4.0,-1.6,0.0,4.34,199.0
mind,336.0,2.5259,6.7,5.05,0.7142857140000001,0.0,2.5,24715.0
minute,271.0,2.4524,5.5,3.76,1.071428571,0.0,3.04,19252.0
moan,372.0,1.1219,4.05,5.52,3.714285714,0.0,3.72,96.0
monkey,269.0,1.2577,5.82,5.15,0.285714286,0.0,4.9,1709.0
moose,497.0,-0.1067,6.71,4.85,0.3,0.0,4.97,282.0
mop,331.0,0.7557,4.53,3.14,1.8125,0.0,4.97,211.0
morning,213.0,2.4952,6.41,3.95,-1.8,0.0,3.44,22389.0
motion,419.0,1.5996,5.8,4.71,0.8666666670000001,0.0,3.8,967.0
move,282.0,2.631,4.95,4.24,0.3,0.0,3.25,21325.0
mug,568.0,0.0694,4.16,3.83,0.0,0.0,4.8,349.0
murder,426.0,1.3955,1.48,6.24,0.071428571,0.0,3.61,5717.0
museum,426.0,1.5587,6.67,3.74,0.4,0.0,4.6,942.0
must,273.0,2.9652,5.45,4.1,1.5,0.0,2.13,35661.0
mustard,331.0,0.6714,4.74,3.39,-0.6,0.0,4.93,329.0
myth,482.0,1.4487,6.11,4.0,-0.076923077,0.0,2.17,352.0
name,245.0,2.5262,5.62,3.04,0.071428571,0.0,3.5,32735.0
narrow,426.0,1.1753,4.95,4.53,0.285714286,0.0,3.04,358.0
new,239.0,3.0295,7.68,5.14,-0.285714286,0.0,2.81,36913.0
